Date,Open,High,Low,Close,Volume,Name
2019-04-02,232.35,237.55,232.35,233.27,3337100,BIIB
2019-04-03,235.0,235.0,228.5,231.4,3937400,BIIB
2019-04-04,231.4,236.8,231.04,235.04,2629700,BIIB
2019-04-05,235.47,244.08,235.31,241.72,3250300,BIIB
2019-04-08,241.83,243.05,238.38,239.74,2088000,BIIB
2019-04-09,239.25,239.25,235.72,237.58,2146200,BIIB
2019-04-10,237.65,241.87,235.75,240.28,1612600,BIIB
2019-04-11,240.52,240.75,231.05,233.83,2875600,BIIB
2019-04-12,235.0,236.79,233.61,234.5,2001800,BIIB
2019-04-15,235.04,235.88,231.57,232.37,1753400,BIIB
2019-04-16,232.17,233.44,227.42,228.72,2425000,BIIB
2019-04-17,229.77,231.88,225.28,227.18,2507500,BIIB
2019-04-18,227.28,227.88,221.53,226.39,2761000,BIIB
2019-04-22,226.99,232.18,226.57,228.81,1802900,BIIB
2019-04-23,228.27,233.35,226.74,230.21,2557300,BIIB
2019-04-24,232.02,232.8,223.46,224.4,4123900,BIIB
2019-04-25,224.03,232.2,223.09,229.89,2547800,BIIB
2019-04-26,230.25,231.44,226.69,230.53,1660800,BIIB
2019-04-29,230.96,231.7,228.08,229.38,1517800,BIIB
2019-04-30,229.67,231.43,226.4,229.24,1914000,BIIB
2019-05-01,228.97,232.44,227.89,229.5,1666100,BIIB
2019-05-02,229.83,234.49,229.22,230.52,1965600,BIIB
2019-05-03,232.77,234.11,230.55,231.18,2382300,BIIB
2019-05-06,228.95,236.68,227.5,236.07,2368700,BIIB
2019-05-07,233.79,238.17,227.69,229.02,3150300,BIIB
2019-05-08,229.25,232.53,227.59,230.98,2087500,BIIB
2019-05-09,229.17,229.52,224.34,228.47,2108500,BIIB
2019-05-10,227.68,228.5,222.58,226.23,1899500,BIIB
2019-05-13,222.99,226.91,222.12,225.66,1799300,BIIB
2019-05-14,225.88,230.45,225.41,229.18,1905700,BIIB
2019-05-15,228.8,232.07,227.05,230.59,1394300,BIIB
2019-05-16,230.46,232.83,229.8,230.87,1447500,BIIB
2019-05-17,229.5,232.0,228.11,229.28,1893300,BIIB
2019-05-20,228.18,232.01,226.61,230.76,2004400,BIIB
2019-05-21,230.07,234.49,228.81,232.92,1531100,BIIB
2019-05-22,231.92,236.89,230.05,235.04,1478000,BIIB
2019-05-23,232.94,233.22,227.38,229.11,2120700,BIIB
2019-05-24,229.73,230.52,225.82,227.06,1792500,BIIB
2019-05-28,227.79,230.14,225.09,225.54,1876200,BIIB
2019-05-29,223.64,224.49,221.23,223.4,1549700,BIIB
2019-05-30,223.01,224.97,221.12,223.78,1071300,BIIB
2019-05-31,221.71,223.31,219.2,219.29,1649800,BIIB
2019-06-03,220.31,226.58,219.51,223.37,1714600,BIIB
2019-06-04,224.51,229.25,224.31,227.0,1446200,BIIB
2019-06-05,227.12,227.57,224.48,226.09,1378100,BIIB
2019-06-06,225.18,228.17,223.85,224.35,1641700,BIIB
2019-06-07,226.05,228.87,224.01,227.23,1428700,BIIB
2019-06-10,227.52,230.59,226.5,228.4,1312800,BIIB
2019-06-11,229.5,232.81,228.78,229.08,1296900,BIIB
2019-06-12,228.29,231.6,228.01,230.43,1238600,BIIB
2019-06-13,231.05,233.83,229.7,231.26,1166100,BIIB
2019-06-14,230.49,231.42,226.96,227.67,1475800,BIIB
2019-06-17,228.76,232.96,227.55,231.78,1669000,BIIB
2019-06-18,233.95,237.75,232.54,233.01,1646000,BIIB
2019-06-19,232.61,234.42,231.86,233.89,1802500,BIIB
2019-06-20,236.26,237.0,233.89,234.97,1910600,BIIB
2019-06-21,234.67,239.14,232.7,239.09,3065000,BIIB
2019-06-24,238.7,241.31,235.33,235.91,1435300,BIIB
2019-06-25,236.4,245.35,235.99,240.29,2108700,BIIB
2019-06-26,241.45,242.68,235.92,238.07,1872600,BIIB
2019-06-27,237.91,241.14,237.83,239.77,2124700,BIIB
2019-06-28,235.49,237.29,233.46,233.87,3667500,BIIB
2019-07-01,236.59,238.03,234.13,235.49,1866900,BIIB
2019-07-02,236.26,236.48,233.4,236.37,1401100,BIIB
2019-07-03,237.0,238.74,236.24,238.27,680200,BIIB
2019-07-05,236.91,238.91,233.23,234.25,1264500,BIIB
2019-07-08,234.25,234.25,228.03,230.84,1539900,BIIB
2019-07-09,229.49,234.36,228.53,234.22,1235600,BIIB
2019-07-10,233.88,235.98,229.46,232.43,1281400,BIIB
2019-07-11,231.8,232.14,227.19,231.6,1421200,BIIB
2019-07-12,230.89,233.45,230.64,231.42,1248700,BIIB
2019-07-15,232.53,234.35,229.89,233.62,1028300,BIIB
2019-07-16,234.3,235.04,231.06,231.55,1207200,BIIB
2019-07-17,231.53,231.99,229.35,229.44,851700,BIIB
2019-07-18,229.85,232.34,228.58,232.23,1195800,BIIB
2019-07-19,232.86,234.13,231.09,231.27,1315700,BIIB
2019-07-22,232.52,235.24,231.29,232.48,1274700,BIIB
2019-07-23,239.0,246.99,238.21,243.88,3295000,BIIB
2019-07-24,244.7,245.93,239.15,241.24,1565000,BIIB
2019-07-25,241.32,241.55,237.3,238.21,932800,BIIB
2019-07-26,233.91,238.45,232.32,238.21,1544500,BIIB
2019-07-29,238.21,239.3,235.93,237.11,883600,BIIB
2019-07-30,237.33,242.64,236.06,241.51,1215900,BIIB
2019-07-31,239.76,241.42,235.24,237.82,1074900,BIIB
2019-08-01,238.76,245.3,236.42,243.06,1871000,BIIB
2019-08-02,242.12,242.98,239.33,242.27,1111100,BIIB
2019-08-05,240.35,240.99,234.15,235.21,1327000,BIIB
2019-08-06,236.45,240.99,232.3,240.17,1389900,BIIB
2019-08-07,237.81,239.15,233.07,237.58,1169400,BIIB
2019-08-08,238.16,239.92,235.78,238.23,1651400,BIIB
2019-08-09,237.84,238.0,234.4,235.8,1036000,BIIB
2019-08-12,234.09,235.53,229.45,230.96,1233700,BIIB
2019-08-13,230.83,234.76,230.2,233.23,1067400,BIIB
2019-08-14,230.0,230.57,226.0,226.72,1390900,BIIB
2019-08-15,227.08,228.66,226.53,227.63,1034400,BIIB
2019-08-16,229.39,232.87,227.44,231.68,953900,BIIB
2019-08-19,233.37,236.64,233.18,235.72,1021800,BIIB
2019-08-20,235.09,235.55,230.75,231.28,843600,BIIB
2019-08-21,232.8,233.78,231.5,233.18,807500,BIIB
2019-08-22,233.42,233.6,229.53,232.06,732900,BIIB
2019-08-23,231.26,231.87,225.1,225.85,1288100,BIIB
2019-08-26,227.32,227.99,222.95,223.76,983600,BIIB
2019-08-27,225.0,225.64,219.71,220.79,1564000,BIIB
2019-08-28,220.55,223.48,219.0,221.07,1408200,BIIB
2019-08-29,223.1,223.75,219.8,220.16,1175300,BIIB
2019-08-30,220.73,221.68,217.9,219.75,1226300,BIIB
2019-09-03,218.15,219.89,216.09,217.44,1385000,BIIB
2019-09-04,218.75,219.39,215.78,219.29,1166200,BIIB
2019-09-05,220.44,225.43,220.44,223.96,1491900,BIIB
2019-09-06,224.46,227.27,222.7,224.57,1201300,BIIB
2019-09-09,225.58,231.06,224.39,230.0,1651800,BIIB
2019-09-10,230.25,234.8,230.18,233.0,1718900,BIIB
2019-09-11,230.23,238.74,229.78,235.96,1823600,BIIB
2019-09-12,236.31,236.31,226.06,232.31,1953500,BIIB
2019-09-13,232.0,237.98,232.0,236.63,1689000,BIIB
2019-09-16,236.17,240.5,234.82,236.12,1598400,BIIB
2019-09-17,234.86,239.5,234.36,238.7,1205700,BIIB
2019-09-18,239.36,239.52,233.32,235.17,1562400,BIIB
2019-09-19,235.11,238.42,234.23,235.62,1237800,BIIB
2019-09-20,235.43,242.21,234.3,238.79,3577300,BIIB
2019-09-23,238.58,242.71,237.37,239.96,1317800,BIIB
2019-09-24,240.0,241.47,235.15,236.2,1545300,BIIB
2019-09-25,236.2,239.19,235.67,235.9,1148700,BIIB
2019-09-26,236.61,236.86,228.8,230.22,1647200,BIIB
2019-09-27,231.28,233.24,228.13,230.22,1340200,BIIB
2019-09-30,230.28,235.25,229.42,232.82,1182400,BIIB
2019-10-01,232.76,234.04,224.67,227.2,1805800,BIIB
2019-10-02,226.56,228.35,220.61,221.26,1990800,BIIB
2019-10-03,221.7,223.48,219.7,222.5,1827500,BIIB
2019-10-04,223.1,225.5,222.2,224.0,1214600,BIIB
2019-10-07,225.64,229.76,224.0,226.99,1572000,BIIB
2019-10-08,225.16,226.1,221.56,221.94,1973700,BIIB
2019-10-09,223.15,224.15,221.9,222.13,1429300,BIIB
2019-10-10,222.14,224.21,221.96,223.0,1471200,BIIB
2019-10-11,225.44,227.5,220.51,223.21,2388300,BIIB
2019-10-14,222.5,226.38,221.84,225.76,2553900,BIIB
2019-10-15,225.41,228.33,225.16,226.06,1976600,BIIB
2019-10-16,226.23,229.75,225.96,227.72,1365300,BIIB
2019-10-17,227.85,228.97,223.48,225.6,1776600,BIIB
2019-10-18,225.49,225.49,220.01,220.06,2801700,BIIB
2019-10-21,222.0,225.78,221.56,223.51,2358100,BIIB
2019-10-22,310.0,318.0,279.16,281.87,21843100,BIIB
2019-10-23,285.24,286.67,275.66,278.82,5522400,BIIB
2019-10-24,278.21,287.04,278.01,285.68,2803200,BIIB
2019-10-25,285.34,290.18,284.1,288.04,2163900,BIIB
2019-10-28,283.76,295.97,283.39,295.54,2394900,BIIB
2019-10-29,294.76,299.89,294.74,297.5,2391300,BIIB
2019-10-30,302.51,306.92,299.02,299.89,2146500,BIIB
2019-10-31,300.02,301.58,295.57,298.71,1959900,BIIB
2019-11-01,299.79,303.79,298.57,299.2,1463100,BIIB
2019-11-04,301.14,302.56,293.13,293.43,1576200,BIIB
2019-11-05,293.75,295.09,288.82,292.18,1374300,BIIB
2019-11-06,292.34,293.0,286.85,289.0,1306400,BIIB
2019-11-07,289.52,290.56,285.6,286.87,1430700,BIIB
2019-11-08,286.53,293.39,285.25,293.25,1477100,BIIB
2019-11-11,292.48,294.92,290.52,294.14,1007700,BIIB
2019-11-12,295.0,296.25,289.12,291.4,1860900,BIIB
2019-11-13,290.25,290.25,280.95,281.89,1910300,BIIB
2019-11-14,282.84,282.84,271.48,275.15,2354800,BIIB
2019-11-15,278.25,283.95,277.11,282.27,1922200,BIIB
2019-11-18,280.43,283.5,280.05,282.62,1626700,BIIB
2019-11-19,282.11,290.69,280.51,285.43,2001500,BIIB
2019-11-20,285.09,289.1,283.88,285.4,1409600,BIIB
2019-11-21,285.35,289.18,283.76,288.46,1292200,BIIB
2019-11-22,288.4,301.86,288.32,299.08,3288200,BIIB
2019-11-25,301.63,307.01,300.56,302.61,2226100,BIIB
2019-11-26,301.6,307.35,301.6,302.99,2417200,BIIB
2019-11-27,303.61,304.0,298.68,303.35,1369900,BIIB
2019-11-29,301.1,305.18,299.4,299.81,944600,BIIB
2019-12-02,292.35,296.6,290.16,292.39,1822200,BIIB
2019-12-03,291.78,294.65,289.8,290.7,1644900,BIIB
2019-12-04,290.15,293.14,284.03,289.52,1736200,BIIB
2019-12-05,291.0,309.06,275.04,299.39,5988600,BIIB
2019-12-06,299.68,304.56,299.68,300.26,2261100,BIIB
2019-12-09,300.27,304.32,295.46,295.55,2077000,BIIB
2019-12-10,294.38,300.26,294.37,297.2,1227200,BIIB
2019-12-11,296.82,299.29,292.0,292.23,1313900,BIIB
2019-12-12,291.94,296.17,290.93,293.85,1951100,BIIB
2019-12-13,298.0,304.0,294.89,296.83,1946100,BIIB
2019-12-16,297.81,301.74,296.75,301.4,1398700,BIIB
2019-12-17,301.86,301.93,296.3,297.11,1360300,BIIB
2019-12-18,297.63,300.83,295.55,296.61,1790800,BIIB
2019-12-19,297.27,298.77,295.01,297.58,1472400,BIIB
2019-12-20,301.0,301.85,299.5,301.05,3949700,BIIB
2019-12-23,302.9,305.72,300.86,301.56,1542200,BIIB
2019-12-24,301.64,304.65,301.07,304.07,433700,BIIB
2019-12-26,304.47,306.94,301.28,301.79,738200,BIIB
2019-12-27,302.85,303.05,299.49,300.09,677100,BIIB
2019-12-30,300.37,301.57,295.01,296.01,873200,BIIB
2019-12-31,295.28,297.36,292.84,296.73,810100,BIIB
2020-01-02,299.06,299.08,292.28,294.24,1178300,BIIB
2020-01-03,290.77,292.68,290.22,290.85,700100,BIIB
2020-01-06,290.24,291.19,288.2,290.82,1271000,BIIB
2020-01-07,290.57,291.84,287.99,290.09,1034000,BIIB
2020-01-08,288.88,294.19,287.81,292.66,1059000,BIIB
2020-01-09,293.99,296.57,292.36,294.3,966500,BIIB
2020-01-10,294.64,298.74,294.36,296.51,1164500,BIIB
2020-01-13,294.81,295.5,290.83,293.9,1401100,BIIB
2020-01-14,294.1,306.35,291.27,298.97,2112600,BIIB
2020-01-15,298.94,300.37,292.41,293.09,1975600,BIIB
2020-01-16,294.49,294.8,284.24,286.14,2800000,BIIB
2020-01-17,287.32,288.0,284.9,285.5,1765000,BIIB
2020-01-21,286.54,287.84,282.76,287.19,2253100,BIIB
2020-01-22,288.17,290.85,287.6,288.1,1571000,BIIB
2020-01-23,287.23,288.08,281.21,284.21,1936100,BIIB
2020-01-24,284.21,284.99,277.32,278.14,1260200,BIIB
2020-01-27,278.14,282.33,276.24,281.14,1405500,BIIB
2020-01-28,283.96,284.29,280.72,281.95,1136500,BIIB
2020-01-29,282.05,283.38,279.66,282.52,1166200,BIIB
2020-01-30,288.12,288.12,276.14,277.53,1601000,BIIB
2020-01-31,276.08,276.28,267.59,268.85,1701700,BIIB
2020-02-03,270.61,275.3,269.76,272.73,1257800,BIIB
2020-02-04,276.4,285.6,275.94,283.29,1684400,BIIB
2020-02-05,285.63,374.99,279.18,332.87,10159200,BIIB
2020-02-06,338.39,348.66,333.5,337.24,3613600,BIIB
2020-02-07,335.39,340.32,331.66,338.7,2209400,BIIB
2020-02-10,332.0,339.56,330.24,338.93,1867000,BIIB
2020-02-11,338.06,340.05,329.72,332.29,1806200,BIIB
2020-02-12,331.66,334.71,329.04,331.76,1603000,BIIB
2020-02-13,329.2,338.88,329.0,334.25,1307300,BIIB
2020-02-14,334.0,335.4,331.83,333.0,1023200,BIIB
2020-02-18,343.66,344.0,334.09,337.1,1515100,BIIB
2020-02-19,338.0,341.77,335.42,341.04,1488400,BIIB
2020-02-20,342.18,343.0,332.5,336.64,1497800,BIIB
2020-02-21,336.97,337.82,334.6,336.71,923200,BIIB
2020-02-24,331.5,336.0,325.42,325.98,1732500,BIIB
2020-02-25,327.2,330.61,322.7,324.11,1831100,BIIB
2020-02-26,326.98,330.93,323.61,327.45,1411300,BIIB
2020-02-27,324.72,325.55,309.63,310.08,2221100,BIIB
2020-02-28,300.23,310.54,299.0,308.39,2396700,BIIB
2020-03-02,308.64,328.23,307.83,327.89,2364600,BIIB
2020-03-03,320.28,333.0,311.87,315.78,2036100,BIIB
2020-03-04,319.29,328.45,316.41,328.45,1752300,BIIB
2020-03-05,319.73,326.45,315.0,317.7,1470400,BIIB
2020-03-06,308.27,319.18,306.17,317.95,1513000,BIIB
2020-03-09,301.0,306.97,293.76,297.19,2149500,BIIB
2020-03-10,304.49,308.77,289.58,305.63,2378600,BIIB
2020-03-11,295.99,303.36,291.96,294.25,1878900,BIIB
2020-03-12,280.0,285.42,266.01,268.88,2901000,BIIB
2020-03-13,279.14,306.0,276.24,305.21,3641100,BIIB
2020-03-16,281.86,309.35,273.59,281.72,3862600,BIIB
2020-03-17,285.33,314.65,284.14,305.32,2625900,BIIB
2020-03-18,293.71,306.74,277.51,298.68,2767300,BIIB
2020-03-19,293.15,297.48,283.28,288.02,2470000,BIIB
2020-03-20,288.02,301.88,277.81,278.77,2730000,BIIB
2020-03-23,283.35,288.06,262.25,269.19,2695400,BIIB
2020-03-24,278.89,283.26,269.98,276.19,3464100,BIIB
2020-03-25,274.73,300.84,268.13,284.98,2678900,BIIB
2020-03-26,284.74,306.77,284.51,304.94,2270100,BIIB
2020-03-27,297.0,307.14,294.25,296.75,1653100,BIIB
2020-03-30,300.0,321.41,298.08,316.13,1747300,BIIB
2020-03-31,313.48,319.94,309.2,316.38,2869100,BIIB
2020-04-01,308.81,313.46,290.35,293.27,2177500,BIIB
2020-04-02,290.1,307.15,290.0,304.47,3286600,BIIB
2020-04-03,303.7,311.52,296.81,300.51,1422800,BIIB
2020-04-06,308.49,314.14,300.6,311.39,3181100,BIIB
2020-04-07,314.94,319.6,299.61,301.21,2457700,BIIB
2020-04-08,305.25,319.39,301.01,316.95,1932300,BIIB
2020-04-09,315.1,322.45,314.01,321.05,1480300,BIIB
2020-04-13,318.01,325.11,316.79,322.94,2083700,BIIB
2020-04-14,329.0,336.5,328.34,333.76,1675500,BIIB
2020-04-15,329.45,333.2,322.86,326.94,1426400,BIIB
2020-04-16,331.15,340.38,328.17,338.34,1602600,BIIB
2020-04-17,345.97,346.05,335.29,342.55,1701800,BIIB
2020-04-20,338.64,350.24,337.28,339.41,1620700,BIIB
2020-04-21,332.51,336.19,328.37,329.01,1521800,BIIB
2020-04-22,302.75,306.99,289.02,298.01,6652500,BIIB
2020-04-23,293.61,297.44,291.57,292.25,2911100,BIIB
2020-04-24,293.06,297.94,290.1,297.8,1778800,BIIB
2020-04-27,300.58,305.0,299.74,303.24,1611400,BIIB
2020-04-28,305.02,312.83,303.0,305.22,1862600,BIIB
2020-04-29,308.84,313.34,304.63,304.71,2100100,BIIB
2020-04-30,299.0,305.05,296.14,296.83,2290400,BIIB
2020-05-01,295.07,297.92,291.88,293.09,1538700,BIIB
2020-05-04,294.06,297.9,293.02,296.52,1253100,BIIB
2020-05-05,297.14,306.5,297.08,304.44,1348400,BIIB
2020-05-06,305.05,312.66,304.98,306.78,1255500,BIIB
2020-05-07,308.71,317.55,308.51,314.01,1764300,BIIB
2020-05-08,315.49,317.7,311.37,314.02,1126200,BIIB
2020-05-11,313.41,330.13,313.0,328.01,1513500,BIIB
2020-05-12,329.91,335.0,318.89,319.77,1882100,BIIB
2020-05-13,320.9,327.2,312.66,314.96,1795900,BIIB
2020-05-14,311.15,317.78,311.15,315.82,1167100,BIIB
2020-05-15,313.49,317.21,311.0,316.6,820900,BIIB
2020-05-18,324.0,324.0,315.29,315.9,1022400,BIIB
2020-05-19,314.67,316.85,308.66,310.08,862100,BIIB
2020-05-20,311.58,314.58,308.19,309.53,904100,BIIB
2020-05-21,309.76,311.26,302.53,304.46,1099700,BIIB
2020-05-22,304.11,305.03,300.8,304.53,690100,BIIB
2020-05-26,309.07,309.07,294.89,295.87,1663500,BIIB
2020-05-27,297.0,301.5,291.83,301.46,1374700,BIIB
2020-05-28,302.29,304.8,297.86,300.5,1431000,BIIB
2020-05-29,300.98,307.82,297.91,307.09,1917300,BIIB
2020-06-01,305.72,306.95,300.7,301.45,863000,BIIB
2020-06-02,300.28,303.92,300.28,302.86,945800,BIIB
2020-06-03,303.04,304.68,299.71,302.6,945500,BIIB
2020-06-04,302.99,303.96,297.55,299.65,1019000,BIIB
2020-06-05,300.61,308.27,298.12,306.72,1297400,BIIB
2020-06-08,304.48,306.06,299.13,301.26,1491000,BIIB
2020-06-09,297.0,297.34,291.0,293.74,2045800,BIIB
2020-06-10,296.08,296.81,291.9,295.25,1430800,BIIB
2020-06-11,293.66,294.39,281.2,283.22,1669500,BIIB
2020-06-12,286.06,286.96,273.59,279.27,2041100,BIIB
2020-06-15,276.36,278.99,272.02,278.49,2187800,BIIB
2020-06-16,282.01,285.96,280.22,282.12,1752900,BIIB
2020-06-17,283.6,285.28,279.68,281.46,2070600,BIIB
2020-06-18,261.08,270.19,258.95,260.3,6575000,BIIB
2020-06-19,261.75,271.99,259.8,271.0,7723100,BIIB
2020-06-22,266.5,267.36,261.23,264.29,2195100,BIIB
2020-06-23,266.37,273.01,265.49,268.19,1820100,BIIB
2020-06-24,266.9,271.42,261.79,263.04,1448800,BIIB
2020-06-25,262.42,263.42,258.75,262.63,1271400,BIIB
2020-06-26,262.76,262.99,257.6,258.66,2356900,BIIB
2020-06-29,260.84,263.68,258.4,260.35,899300,BIIB
2020-06-30,260.95,268.47,260.37,267.55,1274000,BIIB
2020-07-01,266.89,269.32,261.87,264.77,1093800,BIIB
2020-07-02,265.49,267.96,264.14,265.12,926685,BIIB
